"""and there we go again @singaporeair. wishing all our passengers a great flight to and beyond. T_URL""	"," Rant","Objective"
"""booked and paid flights 5 mos ago via via @singaporeair - now flights gone. not much help from @singaporeair""	"," Rant","Subjective"
"""by @foodgasmglobal - missed the connecting @singaporeair flight due to a snowstorm a... T_URL""	"," Rant","Subjective"
"""continues @singaporeair with 25+hr delay crammed 3 into 2 single bed room now country mgr pa says going to lunch call u later!""	"," Rant","Subjective"
"""is for @klm to tell me where my kids' bag is do not want to be told that @singaporeair has misplaced em""	"," Rant","Subjective"
"""is massive &amp; boarding process taking a long time. forget boarding early if you are not a gold member or + @singaporeair.""	"," Rant","Objective"
"""must be the only airport where the custom officials smile at you and offer you sweeties. @singaporeair""	"," Rant","Objective"
"""on board @singaporeair sq26""	"," Rant","Subjective"
"""right now with @singaporeair""	"," Rant","Objective"
"""some things change but not singapore girls - singapore airlines is carefully picking its... T_URL""	"," Rant","Objective"
"""to the through on the between @singaporeair and @evaair! T_URL""	"," Rant","Subjective"
"""with s. johansson by luc besson - what a remarkable and (for me) meditative movie... watched it twice on my @singaporeair flight.""	"," Rant","Objective"
"""would you pay @singaporeair 1200$ to be connected ? T_URL T_URL""	"," Rant","Subjective"
"""@airvistara will have indiaÃ_Ã_Â»s interest at heart""Ã_Ã_Ã®goh choon phong, ceo, @singaporeair T_URL""	"," Rant","Subjective"
"""@ernessto80: @singaporeair hi, avianca said me that you have my baggage. but they are working in it. thanks!""""	"," Rant","Subjective"
"""@fwong: do you realize how much better singapore airlines is? do you? T_URL @kerbalspacep""	"," Rant","Neutral"
"""@iata: so true! mt @singaporeair: traveling leaves you speechless, then turns you into a storyteller- ibn battuta agreed. true!""	"," Rant","Objective"
"""@mgliksmanmdphd: airline passenger stuck with $1300 wi-fi bill - T_URL @singaporeair will gouge u anyway they can.""	"," Rant","Subjective"
"""@singaporeair is unfortunately the first airline where i just havenÃ_Ã_Â»t found wifi to be worth it. at all."" T_URL""	"," Rant","Subjective"
"""@singaporeair: get on board an iconic for a unique historical tour of T_URL""	"," Rant","Neutral"
"""@singaporeair: rejoice with our fares to bangkok, which incl. 30kg baggaallowance! book now: T_URL T_URL""	"," Rant","Subjective"
"""canadian ceo"" stuck with $1,171 wi-fi bill while traveling on a singapore airlines after opening his email &amp; uploading a powerpoint presn!_Ã´Ã–Â±""	"," Rant","Subjective"
"""singapore airlines would like to apologise for any inconvenience caused"" T_URL T_URL""	"," Rant","Subjective"
"""1,200 wifi charge shows whatÃ_Ã_Â»s wrong with singapore airlines wifi: there is a story going viral about a guy thatÃ_Ã__ T_URL""	"," Rant","Objective"
"""1200 bill for @singaporeair in-flight wi-fi - T_URL - so how much was actually was actually downloaded @trendhunter?""	"," Rant","Subjective"
"""lt;3&lt;3&lt;3 we should so have this service at changi airport and singapore airlines. do not you think? T_URL""	"," Rant","Subjective"
